alignment_seed,candidate_type,model_type,ablation,reranker_seed,source_git_commit,params_sha256,metric_for_best,best_epoch,best_val_metric,stop_epoch,early_stopped,upper_bound_pct,base_top1_pct,base_top5_pct,base_top10_pct,base_top20_pct,base_mrr_raw,rerank_top1_pct,rerank_top5_pct,rerank_top10_pct,rerank_top20_pct,rerank_mrr_raw
42,mass,transformer,no_rank_embedding,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,6,0.6632876651686205,11,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,70.3634,78.0873,80.8555,82.5359,0.7397
42,mass,transformer,no_rank_embedding,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,9,0.6665732149190934,14,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,70.2153,78.1727,80.8499,82.5701,0.7384
42,mass,transformer,no_interaction_features,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,5,0.6507177420192497,10,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.5407,77.3866,80.0239,82.3422,0.7264
42,mass,transformer,no_interaction_features,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,13,0.6499249217806345,18,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,67.1224,76.8968,79.9784,82.3137,0.7152
42,mass,transformer,no_interaction_features,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,4,0.6535168008860542,9,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.6318,77.586,79.9954,82.308,0.727
42,mass,transformer,listwise_only,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,11,0.6554865310429282,16,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,69.0191,77.5974,80.041,82.1941,0.7297
42,mass,transformer,listwise_only,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,11,0.6545922050054458,16,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,69.6001,77.6031,80.2859,82.4391,0.7326
42,mass,transformer,listwise_only,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,8,0.6533912071629442,13,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.1021,77.5177,80.1777,82.308,0.7236
42,formula,transformer,full,42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,12,0.7220646105395899,17,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.7494,82.2511,84.4668,86.8934,0.7822
42,formula,transformer,full,43,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,6,0.723994986975384,11,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.2424,81.727,84.3529,86.62,0.7773
42,formula,transformer,full,44,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,10,0.7238930251858149,15,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.7095,81.9264,84.3074,86.8022,0.781
42,formula,transformer,no_residual,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,16,0.7241809940350201,21,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,75.5183,82.3194,84.6776,87.1326,0.7875
42,formula,transformer,no_residual,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,18,0.7262972998505202,23,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.4361,81.9777,84.2504,86.7567,0.7792
42,formula,transformer,no_residual,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,10,0.7232926557380791,15,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,75.0627,82.3935,84.4441,86.8193,0.7847
42,formula,transformer,no_base_score,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,12,0.723602684240499,17,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,73.7697,81.841,84.2903,86.8193,0.7751
42,formula,transformer,no_base_score,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,11,0.725822571478686,16,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.607,81.9207,84.558,86.8592,0.7805
42,formula,transformer,no_base_score,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,9,0.7255012660453256,14,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.8063,82.234,84.4441,87.1212,0.7824
42,formula,transformer,no_rank_embedding,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,17,0.7313039346776041,22,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,76.7601,82.2169,84.8143,87.3377,0.7949
42,formula,transformer,no_rank_embedding,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,15,0.730064933714329,20,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,75.8658,81.653,84.1251,86.9959,0.7875
42,formula,transformer,no_rank_embedding,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,9,0.7291505374779983,14,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,77.2272,82.6897,84.7858,87.1554,0.7989
42,formula,transformer,no_interaction_features,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,14,0.7273337893785413,19,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,75.4785,82.3194,84.4213,86.9446,0.7872
42,formula,transformer,no_interaction_features,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,10,0.7262315921083718,15,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,76.3898,82.4675,84.6036,87.0756,0.7934
42,formula,transformer,no_interaction_features,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,11,0.7253669544945422,16,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,75.3987,82.4163,84.4953,86.825,0.7864
42,formula,transformer,listwise_only,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,14,0.7217974480615398,19,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.0317,81.5789,84.0226,86.432,0.7745
42,formula,transformer,listwise_only,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,11,0.7252175141679805,16,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.1741,81.7555,84.37,86.9446,0.7774
42,formula,transformer,listwise_only,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,13,0.7233782539175798,18,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.5101,81.8182,84.0567,86.6427,0.7794
