alignment_seed,source_git_commit,params_sha256,selection_path,summary_path,candidate_type,model_type,ablation,reranker_seed,metric_for_best,best_epoch,best_val_metric,stop_epoch,early_stopped,upper_bound_pct,base_top1_pct,base_top5_pct,base_top10_pct,base_top20_pct,base_mrr_raw,rerank_top1_pct,rerank_top5_pct,rerank_top10_pct,rerank_top20_pct,rerank_mrr_raw
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,mass,pointwise,full,44,mrr,8,0.6274996977164038,13,True,80.9809,35.9193,52.9278,61.5858,71.1722,0.4433,66.6838,74.288,76.8227,79.0955,0.7028
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,mass,transformer,full,42,mrr,11,0.6325692461559217,16,True,80.9809,35.9193,52.9278,61.5858,71.1722,0.4433,67.9483,74.4987,76.6519,78.56,0.7107
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,mass,transformer,full,43,mrr,4,0.6320056796062573,9,True,80.9809,35.9193,52.9278,61.5858,71.1722,0.4433,66.8831,74.1399,76.6689,78.7765,0.7036
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,mass,transformer,full,44,mrr,7,0.631998212114905,12,True,80.9809,35.9193,52.9278,61.5858,71.1722,0.4433,66.735,74.3563,76.6689,79.1126,0.7032
44,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44_topk40_multiseed/summary.csv,formula,pointwise,full,42,mrr,8,0.5842902825243775,13,True,75.6038,28.7309,45.1697,53.7537,64.149,0.3687,60.0023,66.473,70.0843,72.8811,0.632
44,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44_topk40_multiseed/summary.csv,formula,pointwise,full,43,mrr,5,0.5845091956017224,10,True,75.6038,28.7309,45.1697,53.7537,64.149,0.3687,59.1479,66.6895,70.09,72.8469,0.6277
44,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44_topk40_multiseed/summary.csv,formula,pointwise,full,44,mrr,23,0.5904721138448956,28,True,75.6038,28.7309,45.1697,53.7537,64.149,0.3687,60.1219,67.0369,70.3235,73.0349,0.6344
44,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44_topk40_multiseed/summary.csv,formula,transformer,full,42,mrr,7,0.589188508541792,12,True,75.6038,28.7309,45.1697,53.7537,64.149,0.3687,59.7346,67.6236,70.6026,72.9494,0.6335
44,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44_topk40_multiseed/summary.csv,formula,transformer,full,43,mrr,9,0.5858787415852557,14,True,75.6038,28.7309,45.1697,53.7537,64.149,0.3687,59.8428,67.1337,70.4602,72.7899,0.6336
44,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed44_topk40_multiseed/summary.csv,formula,transformer,full,44,mrr,10,0.5896743105794477,15,True,75.6038,28.7309,45.1697,53.7537,64.149,0.3687,59.8713,67.1337,70.0103,72.995,0.6332
